Geneid	entrez_gene	genomic_acc	start_pos	end_pos	strand	gene_symbol	transcript_acc	description
gene71	7901759	NW_002476948.1	42	1145	-	TTHERM_02279870	XM_001028587.2	hypothetical protein
gene72	24442714	NW_002476945.1	206	1127	+	TTHERM_002653494	XM_012795148.1	transmembrane protein, putative
gene73	24442686	NW_002476943.1	117	1558	+	TTHERM_002653466	XM_012795149.1	cyclic nucleotide-binding domain protein
gene74	24442533	NW_002476942.1	161	598	+	TTHERM_002653313	XM_012795150.1	hypothetical protein
gene75	24442653	NW_002476940.1	15	365	+	TTHERM_002653433	XM_012795151.1	hypothetical protein
gene76	7901742	NW_002476939.1	236	761	-	TTHERM_02646280	XM_001028183.2	translation initiation factor eIF-5A family protein
gene77	24442630	NW_002476938.1	308	1009	+	TTHERM_002653410	XM_012795152.1	cyclic nucleotide-binding domain protein
gene78	24442557	NW_002476936.1	312	751	+	TTHERM_002653337	XM_012795153.1	hypothetical protein
gene79	24442579	NW_002476934.1	311	601	+	TTHERM_002653359	XM_012795154.1	hypothetical protein
gene80	24442583	NW_002476932.1	587	1055	-	TTHERM_002653363	XM_012795155.1	hypothetical protein
gene81	7901716	NW_002476928.1	12	605	+	TTHERM_02548190	XM_001028287.2	kinase domain protein
gene82	24442687	NW_002476924.1	104	982	+	TTHERM_002653467	XM_012795156.1	hypothetical protein
gene83	7901753	NW_002476923.1	173	1304	+	TTHERM_01984390	XM_001028926.2	surface protein
gene84	24442663	NW_002476922.1	158	1312	+	TTHERM_002653443	XM_012795157.1	hypothetical protein
gene85	24442731	NW_002476921.1	106	733	+	TTHERM_002653511	XM_012795158.1	hypothetical protein
gene86	7901734	NW_002476918.1	580	894	-	TTHERM_02581230	XM_001028253.1	hypothetical protein
gene87	7901700	NW_002476916.1	20	1347	+	TTHERM_02047520	XM_001028851.2	REJ domain protein
gene88	24442620	NW_002476914.1	235	608	+	TTHERM_002653400	XM_012795159.1	hypothetical protein
gene89	7901697	NW_002476903.1	327	982	+	TTHERM_02528180	XM_001028307.2	REJ domain protein
gene90	7901757	NW_002476902.1	20	891	+	TTHERM_02555200	XM_001028280.1	translation initiation factor eIF-5A family protein
gene91	7901722	NW_002476900.1	184	937	+	TTHERM_02525180	XM_001028312.1	kinase domain protein
gene92	24442743	NW_002476899.1	96	834	-	TTHERM_002653523	XM_012795160.1	kinase domain protein
gene93	7901787	NW_002476894.1	263	1054	+	TTHERM_02084560	XM_001028810.2	hypothetical protein
gene94	24442728	NW_002476891.1	192	528	-	TTHERM_002653508	XM_012795161.1	kinase domain protein
gene95	7901750	NW_002476887.1	114	632	+	TTHERM_02476160	XM_001028364.4	translation initiation factor eIF-5A family protein
gene96	7901730	NW_002476885.1	129	984	+	TTHERM_02431120	XM_001028411.2	helicase carboxy-terminal domain protein
gene97	24442595	NW_002476883.1	319	1095	+	TTHERM_002653375	XM_012795162.1	hypothetical protein
gene98	24442682	NW_002476880.1	191	871	-	TTHERM_002653462	XM_012795163.1	transmembrane protein, putative
gene99	24442744	NW_002476879.1	315	1007	+	TTHERM_002653524	XM_012795164.1	hypothetical protein
gene100	24442665	NW_002476876.1	191	679	-	TTHERM_002653445	XM_012795165.1	hAT family dimerization protein
gene101	7901747	NW_002476875.1	90	1432	+	TTHERM_02013450	XM_001028891.2	kinase domain protein
gene102	7901772	NW_002476872.1	171	692	-	TTHERM_02119600	XM_001028771.2	kinase domain protein
gene103	7901749	NW_002476866.1	42	899	+	TTHERM_02589230	XM_001028247.2	kinase domain protein
gene104	24442623	NW_002476865.1	397	832	-	TTHERM_002653403	XM_012795166.1	hypothetical protein
gene105	24442747	NW_002476864.1	218	663	+	TTHERM_002653527	XM_012795167.1	hypothetical protein
gene106	24442724	NW_002476863.1	68	412	+	TTHERM_002653504	XM_012795168.1	transmembrane protein, putative
gene107	24442725	NW_002476863.1	525	980	+	TTHERM_002653505	XM_012795169.1	hypothetical protein
gene108	7840408	NW_002476862.1	292	915	+	TTHERM_02617250	XM_001028216.1	hypothetical protein
gene109	24442658	NW_002476860.1	354	750	-	TTHERM_002653438	XM_012795170.1	hypothetical protein
gene110	7828480	NW_002476858.1	140	1135	-	TTHERM_02245830	XM_001028625.2	small GTP-binding domain protein
gene111	7828479	NW_002476856.1	24	1230	-	TTHERM_02210800	XM_001028662.2	two component regulator propeller family protein
gene112	7828477	NW_002476853.1	180	1062	-	TTHERM_02418110	XM_001028425.2	hypothetical protein
gene113	7828476	NW_002476851.1	116	1389	-	TTHERM_01948320	XM_001028969.2	kinase domain protein
gene114	7828475	NW_002476849.1	128	797	+	TTHERM_02334970	XM_001028522.2	hypothetical protein
gene115	7828474	NW_002476848.1	462	1003	-	TTHERM_02482160	XM_001028356.2	hypothetical protein
gene116	7828471	NW_002476839.1	490	1082	-	TTHERM_02390090	XM_001028455.2	regulator of chromosome condensation (RCC1) protein
gene117	24442667	NW_002476833.1	151	843	-	TTHERM_002653447	XM_012795171.1	surface protein with EGF domain and furin-like repeat protein
gene118	24442729	NW_002476832.1	549	995	+	TTHERM_002653509	XM_012795172.1	hypothetical protein
gene119	24442594	NW_002476830.1	55	1072	+	TTHERM_002653374	XM_012795173.1	oxalate/formate antiporter protein
gene120	7828467	NW_002476828.1	14	768	-	TTHERM_02472150	XM_001028367.4	kinase domain protein
gene121	24442616	NW_002476827.1	451	601	-	TTHERM_002653396	XM_012795174.1	hypothetical protein
gene122	24442535	NW_002476826.1	105	1437	+	TTHERM_002653315	XM_012795175.1	kinase domain protein
gene123	7828464	NW_002476823.1	113	1050	-	TTHERM_02370050	XM_001028479.2	kinase domain protein
gene124	24442742	NW_002476818.1	99	597	+	TTHERM_002653522	XM_012795176.1	glutathione S-transferase, amine-terminal domain protein
gene125	24442680	NW_002476813.1	148	736	+	TTHERM_002653460	XM_012795177.1	transmembrane protein, putative
gene126	24442556	NW_002476809.1	776	1103	-	TTHERM_002653336	XM_012795178.1	hypothetical protein
gene127	24442745	NW_002476807.1	319	734	-	TTHERM_002653525	XM_012795179.1	transmembrane protein, putative
gene128	24442715	NW_002476805.1	68	469	+	TTHERM_002653495	XM_012795180.1	transmembrane protein, putative
gene129	7828461	NW_002476802.1	50	867	-	TTHERM_02400090	XM_001028445.1	zinc carboxypeptidase family protein
gene130	7828459	NW_002476800.1	44	1179	+	TTHERM_02046520	XM_001028853.2	dynamin central region family protein
gene131	24442532	NW_002476799.1	370	1028	+	TTHERM_002653312	XM_012795181.1	hypothetical protein
gene132	24442601	NW_002476797.1	475	833	-	TTHERM_002653381	XM_012795182.1	hypothetical protein
gene133	7828456	NW_002476794.1	42	856	-	TTHERM_02223810	XM_001028648.2	hypothetical protein
gene134	7828454	NW_002476790.1	272	1030	+	TTHERM_02523180	XM_001028313.2	transmembrane protein, putative
gene135	24442558	NW_002476789.1	601	778	+	TTHERM_002653338	XM_012795183.1	hypothetical protein
gene136	24442654	NW_002476786.1	1178	1375	-	TTHERM_002653434	XM_012795184.1	eukaryotic aspartyl protease
gene137	24442572	NW_002476783.1	470	711	+	TTHERM_002653352	XM_012795185.1	hypothetical protein
gene138	24442604	NW_002476782.1	165	1028	-	TTHERM_002653384	XM_012795186.1	caspase recruitment domain 15 protein
gene139	24442711	NW_002476779.1	563	824	+	TTHERM_002653491	XM_012795187.1	hypothetical protein
gene140	24442622	NW_002476774.1	187	1064	-	TTHERM_002653402	XM_012795188.1	kinase domain protein
gene141	7828451	NW_002476773.1	155	652	-	TTHERM_02096560	XM_001028798.2	ADP-ribosylation factor
gene142	24442525	NW_002476773.1	932	1303	-	TTHERM_002096560	XM_012795189.1	hypothetical protein
gene143	7828450	NW_002476767.1	136	1029	-	TTHERM_02293890	XM_001028569.1	calcium-dependent kinase
gene144	24442649	NW_002476766.1	298	823	+	TTHERM_002653429	XM_012795190.1	translation initiation factor eIF-5A family protein
gene145	24442666	NW_002476765.1	133	1143	-	TTHERM_002653446	XM_012795191.1	hypothetical protein
gene146	7828448	NW_002476764.1	67	832	+	TTHERM_02533180	XM_001028302.2	von willebrand factor type A domain protein
gene147	7828447	NW_002476763.1	109	594	+	TTHERM_02493170	XM_001028342.2	ADP-ribosylation factor
gene148	24442683	NW_002476762.1	188	824	+	TTHERM_002653463	XM_012795192.1	kinase domain protein
gene149	24442563	NW_002476759.1	220	1021	+	TTHERM_002653343	XM_012795193.1	hypothetical protein
gene150	24442570	NW_002476757.1	391	882	+	TTHERM_002653350	XM_012795194.1	hypothetical protein
gene151	7828443	NW_002476751.1	71	1169	-	TTHERM_02326960	XM_001028531.2	hypothetical protein
gene152	24442732	NW_002476749.1	403	578	+	TTHERM_002653512	XM_012795195.1	hypothetical protein
gene153	24442627	NW_002476746.1	167	659	+	TTHERM_002653407	XM_012795196.1	hypothetical protein
gene154	7828442	NW_002476745.1	371	1028	+	TTHERM_02504170	XM_001028333.2	hypothetical protein
gene155	24442550	NW_002476743.1	181	924	+	TTHERM_002653330	XM_012795197.1	oxalate/formate antiporter protein
gene156	24442568	NW_002476738.1	891	1217	-	TTHERM_002653348	XM_012795198.1	transmembrane protein, putative
gene157	7828437	NW_002476733.1	78	508	-	TTHERM_01911150	XM_001029020.1	kinase domain protein
gene158	24442704	NW_002476732.1	129	923	-	TTHERM_002653484	XM_012795199.1	hypothetical protein
gene159	24442664	NW_002476729.1	381	820	-	TTHERM_002653444	XM_012795200.1	DNA topoisomerase
gene160	24442690	NW_002476722.1	235	962	-	TTHERM_002653470	XM_012795201.1	translation initiation factor eIF-5A family protein
gene161	24442598	NW_002476718.1	447	733	+	TTHERM_002653378	XM_012795202.1	hypothetical protein
gene162	7828431	NW_002476716.1	137	1318	-	TTHERM_01981390	XM_001028929.3	cyclic nucleotide-binding domain protein
gene163	24442537	NW_002476715.1	405	835	-	TTHERM_002653317	XM_012795203.1	hypothetical protein
gene164	7828430	NW_002476713.1	104	1133	-	TTHERM_02372050	XM_001028477.2	hypothetical protein
gene165	7828429	NW_002476712.1	168	854	-	TTHERM_02651290	XM_001028176.4	kinase domain protein
gene166	24442559	NW_002476711.1	294	1109	+	TTHERM_002653339	XM_012795204.1	transmembrane protein, putative
gene167	7828427	NW_002476709.1	202	1020	-	TTHERM_02383080	XM_001028461.2	hypothetical protein
gene168	24442650	NW_002476708.1	210	831	-	TTHERM_002653430	XM_012795205.1	hypothetical protein
gene169	7828426	NW_002476706.1	273	934	+	TTHERM_02458140	XM_001028382.2	hypothetical protein
gene170	7828425	NW_002476705.1	171	891	+	TTHERM_02452140	XM_001028388.4	hypothetical protein
gene171	7828423	NW_002476702.1	312	1286	-	TTHERM_02105570	XM_001028788.1	von willebrand factor type A domain protein
gene172	7828422	NW_002476700.1	88	840	+	TTHERM_02139630	XM_001028748.1	ADP/ATP carrier protein
gene173	7828421	NW_002476697.1	472	1169	+	TTHERM_02175710	XM_001028704.2	translation initiation factor eIF-5A family protein
gene174	24442548	NW_002476696.1	23	826	-	TTHERM_002653328	XM_012795206.1	hypothetical protein
gene175	7828420	NW_002476693.1	555	1052	+	TTHERM_02436120	XM_001028404.2	transmembrane protein, putative
gene176	7828419	NW_002476692.1	14	397	+	TTHERM_02499170	XM_001028338.1	kinase domain protein
gene177	7828418	NW_002476691.1	70	905	+	TTHERM_02608240	XM_001028226.4	caspase recruitment domain protein, putative
gene178	7828417	NW_002476690.1	302	1051	-	TTHERM_02449140	XM_001028391.2	transmembrane protein
gene179	24442588	NW_002476689.1	182	990	-	TTHERM_002653368	XM_012795207.1	hypothetical protein
gene180	7828415	NW_002476688.1	94	685	-	TTHERM_02394090	XM_001028450.3	hemagglutination activity domain protein
gene181	24442730	NW_002476684.1	837	1332	+	TTHERM_002653510	XM_012795208.1	hypothetical protein
gene182	7828411	NW_002476680.1	167	1062	+	TTHERM_02468150	XM_001028372.1	kinase domain protein
gene183	24442587	NW_002476678.1	211	915	-	TTHERM_002653367	XM_012795209.1	kinase domain protein
gene184	7828409	NW_002476677.1	306	769	+	TTHERM_02639280	XM_001028190.2	regulator of chromosome condensation (RCC1) protein
gene185	24442573	NW_002476676.1	221	834	+	TTHERM_002653353	XM_012795210.1	kinase domain protein
gene186	7828407	NW_002476674.1	3	1129	-	TTHERM_02357030	XM_001028496.2	hypothetical protein
gene187	7828406	NW_002476672.1	111	787	+	TTHERM_02592230	XM_001028241.2	papain family cysteine protease
gene188	24442617	NW_002476671.1	351	637	-	TTHERM_002653397	XM_012795211.1	kinase domain protein
gene189	7828405	NW_002476670.1	417	1130	-	TTHERM_02094560	XM_001028801.2	hypothetical protein
gene190	7824227	NW_002476663.1	167	655	+	TTHERM_02008420	XM_001028898.3	kinase domain protein
gene191	24442621	NW_002476662.1	320	746	-	TTHERM_002653401	XM_012795212.1	hypothetical protein
gene192	7845390	NW_002476657.1	290	779	+	TTHERM_02602230	XM_001028228.1	transmembrane protein, putative
gene193	24442648	NW_002476654.1	1121	1361	-	TTHERM_002653428	XM_012795213.1	hypothetical protein
gene194	7845387	NW_002476653.1	376	854	-	TTHERM_02587230	XM_001028246.2	cyclic nucleotide-binding domain protein
gene195	24442560	NW_002476652.1	94	1012	+	TTHERM_002653340	XM_012795214.1	kinase domain protein
gene196	7845386	NW_002476651.1	187	1222	-	TTHERM_02159680	XM_001028723.2	REJ domain protein
gene197	24442750	NW_002476649.1	334	952	-	TTHERM_002653530	XM_012795215.1	transmembrane protein, putative
gene198	24442737	NW_002476648.1	286	606	-	TTHERM_002653517	XM_012795216.1	hypothetical protein
gene199	24442555	NW_002476646.1	552	1042	+	TTHERM_002653335	XM_012795217.1	tetratricopeptide repeat protein
gene200	7845385	NW_002476645.1	63	977	-	TTHERM_02252830	XM_001028618.3	zinc finger, LSD1 subclass family protein, putative
gene201	24442702	NW_002476643.1	326	1046	-	TTHERM_002653482	XM_012795218.1	transmembrane protein, putative
gene202	24442699	NW_002476642.1	192	809	-	TTHERM_002653479	XM_012795219.1	von willebrand factor type A domain protein
gene203	24442659	NW_002476640.1	358	1066	-	TTHERM_002653439	XM_012795220.1	hypothetical protein
gene204	24442564	NW_002476639.1	692	978	+	TTHERM_002653344	XM_012795221.1	hypothetical protein
gene205	24442806	NW_002476638.1	220	570	+	TTHERM_02141639	XM_001471443.2	hypothetical protein
gene206	24442526	NW_002476638.1	1050	1382	+	TTHERM_002141639	XM_012795222.1	transmembrane protein, putative
gene207	24442531	NW_002476634.1	329	610	-	TTHERM_002653311	XM_012795223.1	hypothetical protein
gene208	24442646	NW_002476633.1	444	734	-	TTHERM_002653426	XM_012795224.1	hypothetical protein
gene209	7845379	NW_002476628.1	99	659	+	TTHERM_02219810	XM_001028652.1	hypothetical protein
gene210	7845378	NW_002476627.1	341	955	+	TTHERM_02404090	XM_001028441.1	regulator of chromosome condensation (RCC1) protein
gene211	24442638	NW_002476626.1	340	782	-	TTHERM_002653418	XM_012795225.1	hypothetical protein
gene212	24442603	NW_002476623.1	585	1065	-	TTHERM_002653383	XM_012795226.1	hypothetical protein
gene213	7845376	NW_002476621.1	587	1270	-	TTHERM_02146650	XM_001028739.2	transmembrane protein, putative
gene214	7845373	NW_002476617.1	1045	1341	+	TTHERM_02162690	XM_001028720.1	hypothetical protein
gene215	7845372	NW_002476615.1	619	1204	+	TTHERM_02272860	XM_001028593.2	kinase domain protein
gene216	24442605	NW_002476610.1	244	857	-	TTHERM_002653385	XM_012795227.1	kinase domain protein
gene217	24442748	NW_002476609.1	257	886	+	TTHERM_002653528	XM_012795228.1	kinase domain protein
gene218	7845370	NW_002476608.1	212	938	+	TTHERM_02440130	XM_001028399.4	P-type ATPase, putative
gene219	24442719	NW_002476607.1	300	551	+	TTHERM_002653499	XM_012795229.1	hypothetical protein
gene220	24442720	NW_002476607.1	915	1076	-	TTHERM_002653500	XM_012795230.1	hypothetical protein
gene221	7845368	NW_002476603.1	38	577	+	TTHERM_02607240	XM_001028225.4	transmembrane protein, putative
gene222	24442575	NW_002476602.1	439	765	+	TTHERM_002653355	XM_012795231.1	hypothetical protein
gene223	7845366	NW_002476601.1	48	820	-	TTHERM_02510180	XM_001028326.4	kinase domain protein
gene224	24442597	NW_002476597.1	278	740	-	TTHERM_002653377	XM_012795232.1	zinc finger lsd1 subclass family protein
gene225	24442549	NW_002476593.1	375	1194	+	TTHERM_002653329	XM_012795233.1	cyclic nucleotide-binding domain protein
gene226	7845361	NW_002476591.1	121	516	+	TTHERM_02186720	XM_001028691.1	ABC transporter family protein
gene227	24442679	NW_002476586.1	259	811	+	TTHERM_002653459	XM_012795234.1	hypothetical protein
gene228	24442657	NW_002476585.1	202	683	-	TTHERM_002653437	XM_012795235.1	tetratricopeptide repeat protein
gene229	24442609	NW_002476584.1	687	1142	-	TTHERM_002653389	XM_012795236.1	hypothetical protein
gene230	24442706	NW_002476583.1	702	1160	+	TTHERM_002653486	XM_012795237.1	hypothetical protein
gene231	24442639	NW_002476582.1	1017	1536	+	TTHERM_002653419	XM_012795238.1	hypothetical protein
gene232	7845358	NW_002476581.1	1	1707	+	TTHERM_01058750	XM_971405.2	transmembrane protein, putative
gene233	7845331	NW_002476581.1	2347	4543	+	TTHERM_01058760	XM_971406.2	hypothetical protein
gene234	24441589	NW_002476581.1	7503	8773	+	TTHERM_001058770	XM_012795239.1	hypothetical protein
gene235	24441590	NW_002476581.1	10110	12627	+	TTHERM_001058781	XM_012795240.1	transmembrane protein, putative
gene236	7845334	NW_002476581.1	13115	17882	-	TTHERM_01060770	XM_971409.2	tetratricopeptide repeat protein
gene237	24441591	NW_002476581.1	18663	20114	-	TTHERM_001060771	XM_012795241.1	kinase domain protein
gene238	7845357	NW_002476581.1	22424	25991	+	TTHERM_01060780	XM_971410.2	hypothetical protein
gene239	24441592	NW_002476581.1	28582	28938	-	TTHERM_001060781	XM_012795242.1	transmembrane protein, putative
gene240	7845335	NW_002476581.1	29687	35060	+	TTHERM_01060790	XM_971411.2	hypothetical protein
gene241	7845336	NW_002476581.1	35803	37964	-	TTHERM_01060800	XM_971412.2	hypothetical protein
gene242	7845337	NW_002476581.1	39621	41508	-	TTHERM_01060810	XM_971413.2	hypothetical protein
gene243	7845338	NW_002476581.1	42449	45903	+	TTHERM_01060820	XM_971414.2	transmembrane protein, putative
gene244	24441593	NW_002476581.1	46248	46448	-	TTHERM_001060821	XM_012795243.1	hypothetical protein
gene245	7845340	NW_002476581.1	47442	51340	+	TTHERM_01060840	XM_971416.2	transmembrane protein, putative
gene246	7845341	NW_002476581.1	52922	54828	+	TTHERM_01060850	XM_971417.2	kelch motif protein
gene247	7845342	NW_002476581.1	57361	59467	+	TTHERM_01060860	XM_971418.3	transmembrane protein, putative
gene248	7845344	NW_002476581.1	60253	66423	-	TTHERM_01062860	XM_971420.3	hypothetical protein
gene249	7845346	NW_002476581.1	73297	73803	+	TTHERM_01062900	XM_971424.1	hypothetical protein
gene250	24442793	NW_002476581.1	74770	83596	-	TTHERM_01062930	XM_971427.3	kinase domain protein, putative
gene251	7845348	NW_002476581.1	84789	85529	-	TTHERM_01063940	XM_971429.2	hypothetical protein
gene252	24441594	NW_002476581.1	86178	90672	-	TTHERM_001063948	XM_012795244.1	hypothetical protein
gene253	24441595	NW_002476581.1	92397	92742	+	TTHERM_001063949	XM_012795245.1	hypothetical protein
gene254	7845349	NW_002476581.1	93403	93938	-	TTHERM_01063950	XM_971430.3	hypothetical protein
gene255	7845350	NW_002476581.1	95199	96938	+	TTHERM_01064950	XM_971431.3	hypothetical protein
gene256	24441596	NW_002476581.1	97468	98563	+	TTHERM_001064960	XM_012795246.1	hypothetical protein
gene257	7845352	NW_002476581.1	102618	104690	+	TTHERM_01066950	XM_971433.2	AMP-binding enzyme family protein
gene258	24441597	NW_002476581.1	105486	108904	+	TTHERM_001066951	XM_012795247.1	kinase domain protein
gene259	24441598	NW_002476581.1	109601	110179	+	TTHERM_001066952	XM_012795248.1	transmembrane protein, putative
gene260	24441599	NW_002476581.1	112569	121126	+	TTHERM_001066953	XM_012795249.1	kinase domain protein
gene261	7845330	NW_002476580.1	2999	6316	-	TTHERM_01290190	XM_971449.4	hypothetical protein
gene262	7845322	NW_002476580.1	7900	8879	-	TTHERM_01292190	XM_971451.1	hypothetical protein
